"country","date","variable","value"
"Nicaragua",2020-04-05,"workplaces",-16
"Nicaragua",2020-04-04,"workplaces",-17
"Nicaragua",2020-04-03,"workplaces",-14
"Nicaragua",2020-04-02,"workplaces",-16
"Nicaragua",2020-04-01,"workplaces",-16
"Nicaragua",2020-03-31,"workplaces",-15
"Nicaragua",2020-03-30,"workplaces",-13
"Nicaragua",2020-03-29,"workplaces",-17
"Nicaragua",2020-03-28,"workplaces",-17
"Nicaragua",2020-03-27,"workplaces",-15
"Nicaragua",2020-03-26,"workplaces",-16
"Nicaragua",2020-03-25,"workplaces",-14
"Nicaragua",2020-03-24,"workplaces",-13
"Nicaragua",2020-03-23,"workplaces",-9
"Nicaragua",2020-03-22,"workplaces",-12
"Nicaragua",2020-03-21,"workplaces",-10
"Nicaragua",2020-03-20,"workplaces",-2
"Nicaragua",2020-03-19,"workplaces",3
"Nicaragua",2020-03-18,"workplaces",10
"Nicaragua",2020-03-17,"workplaces",13
"Nicaragua",2020-03-16,"workplaces",15
"Nicaragua",2020-03-15,"workplaces",7
"Nicaragua",2020-03-14,"workplaces",4
"Nicaragua",2020-03-13,"workplaces",12
"Nicaragua",2020-03-12,"workplaces",15
"Nicaragua",2020-03-11,"workplaces",14
"Nicaragua",2020-03-10,"workplaces",15
"Nicaragua",2020-03-09,"workplaces",17
"Nicaragua",2020-03-08,"workplaces",9
"Nicaragua",2020-03-07,"workplaces",4
"Nicaragua",2020-03-06,"workplaces",10
"Nicaragua",2020-03-05,"workplaces",15
"Nicaragua",2020-03-04,"workplaces",13
"Nicaragua",2020-03-03,"workplaces",13
"Nicaragua",2020-03-02,"workplaces",15
"Nicaragua",2020-03-01,"workplaces",11
"Nicaragua",2020-02-29,"workplaces",4
"Nicaragua",2020-02-28,"workplaces",9
"Nicaragua",2020-02-27,"workplaces",13
"Nicaragua",2020-02-26,"workplaces",11
"Nicaragua",2020-02-25,"workplaces",12
"Nicaragua",2020-02-24,"workplaces",12
"Nicaragua",2020-02-23,"workplaces",12
"Nicaragua",2020-02-22,"workplaces",1
"Nicaragua",2020-02-21,"workplaces",6
"Nicaragua",2020-02-20,"workplaces",13
"Nicaragua",2020-02-19,"workplaces",10
"Nicaragua",2020-02-18,"workplaces",10
"Nicaragua",2020-02-17,"workplaces",11
"Nicaragua",2020-02-16,"workplaces",12
